,Station,Station ID,Province,Index_col,Monthly Range,Daily Range
0,(AE) BOW SUMMIT,10700,AB,0,1998-04-01|2007-11-01,1998-02-01|2007-11-30
1,ABEE AGDM,32232,AB,1,2002-11-01|2007-11-01,2002-11-01|2021-02-25
2,ACADIA VALLEY,47748,AB,2,|,2009-02-13|2021-02-25
3,ACADIA VALLEY,2030,AB,3,1980-01-01|1991-12-01,1980-08-01|1991-09-30
4,ACADIA VALLEY CDA EPF,2032,AB,4,1965-01-01|1965-12-01,1965-07-01|1965-07-31
5,ACADIA VALLEY EXP ST,2031,AB,5,1954-01-01|1962-12-01,1954-01-01|1962-12-31
6,ACADIA VALLEY MACTAVISH,2033,AB,6,1988-01-01|2005-01-01,1988-05-01|2005-01-31
7,ACADIA VALLEY VANDYNE,2034,AB,7,1988-01-01|1998-09-01,1988-05-01|1998-09-30
8,ACME CDA EPF,2035,AB,8,1953-01-01|1982-12-01,1953-01-01|1982-06-30
9,ADAIR LO,2649,AB,9,1968-01-01|2007-08-01,1968-05-01|2011-08-22
10,ADAMS CREEK LO,2460,AB,10,1962-01-01|2007-09-01,1962-05-01|2011-08-16
11,ADEN,2331,AB,11,1962-01-01|2000-08-01,1962-06-01|2000-08-31
12,AIRDRIE,2181,AB,12,1961-01-01|1963-12-01,1961-08-01|1963-04-30
13,AKAMINA PASS,9604,AB,13,2003-01-01|2007-11-01,2002-06-01|2007-11-30
14,ALBERT HALL AGCM,46127,AB,14,2007-05-01|2007-11-01,2007-05-01|2021-02-25
15,ALDER FLATS LO,1807,AB,15,1952-01-01|1984-12-01,1952-06-01|1984-09-30
16,ALGAR LO,2461,AB,16,1959-01-01|2007-09-01,1959-04-01|2011-08-23
17,ALIX,2037,AB,17,1970-01-01|1973-12-01,1970-07-01|1973-09-30
18,ALIX,2036,AB,18,1905-01-01|1951-12-01,1905-08-01|1951-09-30
19,ALLIANCE,1808,AB,19,1916-01-01|1982-12-01,1916-05-01|1982-07-31
20,ALLIANCE AGCM,46327,AB,20,2007-05-01|2007-11-01,2007-05-01|2021-02-25
21,ALLIANCE GREENVIEW,1809,AB,21,1960-01-01|1962-12-01,1960-04-01|1962-12-31
22,ALLIANCE SOUTH,1810,AB,22,1982-01-01|2000-10-01,1982-10-01|2000-10-31
23,ALSASK,2038,AB,23,1957-01-01|1965-12-01,1957-05-01|1965-04-30
24,ALTAWAN,2332,AB,24,1965-01-01|2007-09-01,1965-11-01|2007-09-30
25,AMBER LO,2650,AB,25,1967-01-01|2007-08-01,1967-05-01|2011-08-16
26,AMISK,1811,AB,26,1967-01-01|1974-12-01,1967-10-01|1974-12-31
27,ANDREW,1812,AB,27,1973-01-01|2007-11-01,1973-06-01|2017-12-31
28,ANDREW AGDM,32253,AB,28,2002-12-01|2007-11-01,2002-12-01|2021-02-25
29,ANSELL LO,2462,AB,29,1960-01-01|2007-09-01,1960-06-01|2011-09-01
30,ANSELMO,2463,AB,30,1990-01-01|2003-09-01,1990-05-01|2003-09-30
31,ANTHRACITE,2362,AB,31,1931-01-01|1962-12-01,1929-03-01|1962-02-28
32,ANTLER HILL,2039,AB,32,1973-01-01|1973-12-01,1973-07-01|1973-12-31
33,ANZAC,2465,AB,33,1972-01-01|1979-12-01,1972-11-01|1979-07-31
34,ANZAC,2464,AB,34,1950-01-01|1957-12-01,1950-10-01|1957-08-31
35,ARDENVILLE,53098,AB,35,|,2018-05-14|2021-02-25
36,ARMADA EXP ST,2182,AB,36,1955-01-01|1963-12-01,1955-01-01|1963-03-31
37,ARMENA,1813,AB,37,1969-01-01|1972-12-01,1969-06-01|1972-08-31
38,ARNESON,2029,AB,38,1983-01-01|1986-12-01,1983-04-01|1986-09-30
39,ARROWWOOD,2183,AB,39,1965-01-01|1975-12-01,1965-06-01|1975-07-31
