Station Name,Latitude,Longitude,Elevation,IATA,WMO ID,Climate ID,Starting Date (hourly data),Ending Date (hourly data),Starting Date (daily data),Ending Date (daily data),Associated Location
(AE) BOW SUMMIT,51.7,-116.47,2080 m,,,3050PPF,,,1998-02-01,2007-11-01,
100 MILE HOUSE,51.65,-121.3,1059 m,,,1165791,,,1970-05-01,1999-11-01,100 Mile House
100 MILE HOUSE,51.65,-121.27,930 m,,,1095790,,,1957-06-01,1959-08-01,
100 MILE HOUSE 6NE,51.68,-121.22,928 m,,,1165793,,,1987-06-01,+,100 Mile House
108 MILE HOUSE,51.75,-121.33,957 m,,,1095796,,,1970-05-01,1973-07-01,
108 MILE HOUSE ABEL LAKE,51.62,-121.26,1005 m,,,109E7R6,,,1987-07-01,2020-11-01,
108 MILE HOUSE WATSON LAKE,51.7,-121.33,890 m,,,116N7R6,,,1987-07-01,1989-12-01,
150 MILE HOUSE,52.12,-121.93,738 m,,,1095820,,,1947-10-01,1963-09-01,
150 MILE HOUSE 7N,52.22,-122,884 m,,,1095821,,,1969-01-01,1975-01-01,
26 MILE DEPOT,48.42,-57.07,267 m,,,8403990,,,1962-01-01,1962-11-01,
70 MILE HOUSE,51.3,-121.4,1080 m,,,1167191,,,1974-05-01,1987-06-01,
ABBEY,50.7,-108.78,695 m,,,4020020,,,1956-05-01,2008-01-01,
ABBOTSFORD,49.02,-122.33,,,,1100015,,,1956-04-01,1956-12-01,
ABBOTSFORD A (Abbotsford Airport),49.03,-122.36,59 m,YXX,71108,1100031,2011-10-07,+,2012-06-01,+,Abbotsford
,,,,,,,,,,,Langley
ABBOTSFORD A (Abbotsford Airport),49.03,-122.36,59 m,YXX,71108,1100030,1953-01-01,2012-06-21,1944-10-01,2012-06-01,Abbotsford
,,,,,,,,,,,Langley
ABBOTSFORD A (Abbotsford Airport),49.03,-122.36,59 m,YXX,,1100032,2016-01-13,+,2018-10-01,+,Abbotsford
,,,,,,,,,,,Langley
ABBOTSFORD EAST,49.03,-122.25,8 m,,,1100035,,,1960-11-01,1962-12-01,
ABBOTSFORD KING ROAD,49.03,-122.3,61 m,,,1100037,,,1968-11-01,1973-03-01,
